,time_sum
352,43.92194447
353,43.94000003
354,43.96083336
355,43.96833336
356,43.97583336
357,43.98333336
358,43.99722225
359,44.01111114
360,44.02500003
361,44.03888892
362,44.0502778
363,44.06111114
364,44.07416669
365,44.08500003
366,44.09583336
367,44.10666669
368,44.18777781
369,44.3302778
370,44.96222225
371,45.7577778
372,46.19972225
373,46.55805558
374,46.62833336
375,46.6502778
376,46.66944447
377,46.72638891
378,46.75305558
379,46.81583336
380,47.23250002
381,47.47194447
382,47.68888891
383,47.85305558
384,47.89055558
385,47.95361114
386,48.0902778
387,48.24166669
388,48.35222225
389,48.44972225
390,48.4827778
391,48.50472225
392,48.57055558
393,48.62305558
394,48.69416669
395,48.78333335
396,48.88638891
397,48.94388891
398,49.03305558
399,49.20750002
400,49.29388891
401,49.37750002
402,49.45555558
403,49.58111113
404,49.69166669
405,49.75694447
406,49.83388891
407,49.88361113
408,49.94555558
409,49.99194447
410,50.0102778
411,50.0477778
412,50.1727778
413,50.35138891
414,50.57666669
415,50.82694447
416,50.85416669
417,50.86944447
418,50.88472225
419,50.90083336
420,50.91694447
421,50.93472225
422,50.94833336
423,50.97444447
424,51.00638892
425,51.05722225
426,51.08222225
427,51.10083336
428,51.12888892
429,51.15666669
430,51.16361114
431,51.18055558
432,51.24805558
433,51.32500003
434,51.36277781
435,51.39944447
436,51.44666669
437,51.49111114
438,51.5452778
439,51.58111114
440,51.62055558
441,51.66833336
442,51.7252778
443,51.76972225
444,51.79888891
445,51.83611114
446,51.91666669
447,52.01333336
448,52.13083336
449,52.1927778
450,52.27472225
451,52.28888891
452,52.29833336
453,52.30666669
454,52.33194447
455,52.35861113
456,52.38638891
457,52.44500002
458,52.85833336
459,53.08694447
460,53.54916669
461,53.79805558
462,54.06722224
463,54.46000002
464,54.69111113
465,55.07527779
466,55.30583335
467,55.37694446
468,55.49333335
469,55.72138891
470,55.79166669
471,55.79666669
472,55.8027778
473,55.9052778
474,56.2002778
475,56.24361113
476,56.50638891
477,56.63750002
478,56.73638891
479,56.84222225
480,56.95000002
481,57.06638891
482,57.15472225
483,57.16722225
484,57.18055558
485,57.28666669
486,57.42250003
487,57.52805558
488,57.54722225
489,57.66888892
490,57.81222225
491,58.02000003
492,58.19472225
493,58.27583336
494,58.34277781
495,58.50750003
496,58.52972225
497,58.55000003
498,58.59472225
499,58.61083336
500,58.63972225
501,58.66000003
502,58.6766667
503,58.69888892
504,58.71944448
505,58.74000003
506,58.76638892
507,58.80861114
508,58.8316667
509,58.85222225
510,58.87444448
511,58.91277781
512,58.95750003
513,59.0166667
514,59.0841667
515,59.14611114
516,59.20583336
517,59.2816667
518,59.35138892
519,59.37805559
520,59.40055559
521,59.42111114
522,59.44333337
523,59.49333337
524,59.51611114
525,59.54138892
526,59.56333337
527,59.58527781
528,59.62944448
529,59.74944448
530,59.86888892
531,59.94000003
532,59.96361114
533,59.98388892
534,59.99027781
535,60.00805559
536,60.02722225
537,60.03500003
538,60.0491667
539,60.05861114
540,60.07750003
541,60.12111114
542,60.14361114
543,60.15972225
544,60.25833336
545,60.30805558
546,60.32250003
547,60.38777781
548,60.47944447
549,60.50861114
550,60.53138892
551,60.54305558
552,60.55472225
553,60.56638892
554,60.57777781
555,60.63972225
556,60.74027781
557,60.81055558
558,60.85055558
559,60.88500003
560,60.93027781
561,60.96611114
562,61.00222225
563,61.07388892
564,61.19194447
565,61.31638892
566,61.40527781
567,61.48972225
568,61.56361114
569,61.59861114
570,61.63138892
571,61.67500003
572,61.69166669
573,61.69694447
574,61.70138892
575,61.70750003
576,61.75138892
577,61.78388892
578,61.80666669
579,61.82000003
580,61.83555558
581,61.89611114
582,62.54388892
583,62.67277781
584,62.83472225
585,62.92083336
586,63.16972225
587,63.59611114
588,63.71166669
589,63.76388892
590,63.77305558
591,63.78416669
592,63.82083336
593,63.83833336
594,63.85444447
595,63.86222225
596,63.86888892
597,63.87444447
598,63.88944447
599,63.89944447
600,63.90861114
601,64.16888892
602,64.25222225
603,64.27000003
604,64.30027781
605,64.43000003
606,64.55972225
607,64.79055559
608,64.81722225
609,64.85333336
610,65.30250003
611,65.68555558
612,66.11555558
613,66.25611114
614,66.39111114
615,66.61694447
616,66.74500003
617,66.86583336
618,66.9841667
619,67.00472225
620,67.04805558
621,67.07444447
622,67.08388892
623,67.09333336
624,67.10194447
625,67.1127778
626,67.12805558
627,67.13750003
628,67.14666669
629,67.16055558
630,67.22583336
631,67.32666669
632,67.41361114
633,67.49638892
634,67.53888892
635,67.57277781
636,67.67055558
637,67.76555558
638,67.9927778
639,68.10555558
640,68.26305558
641,68.40638892
642,68.47944447
643,68.48805558
644,68.54277781
645,68.65388891
646,68.73500002
647,68.82888891
648,68.84638891
649,68.94805558
650,68.99555558
651,69.21750002
652,69.24055558
653,69.25583336
654,69.26500003
655,69.27555558
656,69.36222225
657,69.44805558
658,69.50111114
659,69.55472225
660,69.65194447
661,69.69194447
662,69.73388891
663,69.74722225
664,69.97861113
665,69.99861113
666,70.19972224
667,70.26444447
668,70.30500002
669,70.33166669
670,70.35805558
671,70.37861113
672,70.41583336
673,70.53361113
674,70.61694447
675,70.67500002
676,70.68944447
677,70.75500002
678,70.8177778
679,70.88305558
680,70.94694447
681,71.01138891
682,71.04888891
683,71.09444447
684,71.16472225
685,71.22916669
686,71.34222225
687,71.43972225
688,71.5277778
689,71.61166669
690,71.6177778
691,71.63611113
692,71.66055558
693,71.67638891
694,71.7027778
695,71.72916669
696,71.7577778
697,71.84638891
698,71.85638891
699,71.87305558
700,71.89805558
701,71.92611113
702,72.11833335
703,72.31000002
704,72.65083335
705,72.94972224
706,73.19055558
707,73.2077778
708,73.21694446
709,73.22611113
710,73.23333335
711,73.24333335
712,73.25333335
713,73.27694446
714,73.30444446
715,73.32111113
716,73.3377778
717,73.35444447
718,73.37222224
719,73.40611113
720,73.45500002
721,73.51833336
722,73.56833336
723,73.61111113
724,73.65000002
725,73.68388891
726,73.69472224
727,73.72722224
728,73.76722224
729,73.82472224
730,73.98222224
731,74.10611113
732,74.26972224
733,74.42611113
734,74.73388891
735,74.99888891
736,75.11500002
737,75.19472224
738,75.24194446
739,75.33166669
740,75.46944446
741,75.51416669
742,75.56388891
743,75.61888891
744,75.65055557
745,75.67333335
746,75.74250002
747,75.76666669
748,75.79944446
749,75.83472224
750,75.89333335
751,75.96500002
752,76.01638891
753,76.06000002
754,76.09611113
755,76.13388891
756,76.1877778
757,76.21944446
758,76.25750002
759,76.27944446
760,76.29194446
761,76.30222224
762,76.31972224
763,76.36805557
764,76.46111113
765,76.73916669
766,76.97611113
767,77.17611113
768,77.18750002
769,77.19888891
770,77.37305557
771,77.45194446
772,77.53722224
773,77.62388891
774,77.64222224
775,77.67555558
776,77.71611113
777,77.75416669
778,77.76444446
779,77.77472224
780,77.80000002
781,77.82083335
782,77.84805558
783,77.87583335
784,77.98166669
785,78.03305558
786,78.06333335
787,78.09055558
788,78.14583335
789,78.23861113
790,78.31638891
791,78.38000002
792,78.45666669
793,78.49444447
794,78.53805558
795,78.57666669
796,78.61444447
797,78.65333336
798,78.70250002
799,78.81500002
800,78.92666669
801,79.06250002
802,79.26666669
803,79.35416669
804,79.38166669
805,79.38638891
806,79.39972224
807,79.4052778
808,79.40972224
809,79.4577778
810,79.51472224
811,79.52166669
812,79.54888891
813,79.58638891
814,79.70361114
815,79.83944447
816,79.93222225
817,80.0577778
818,80.48638891
819,80.65833336
820,81.00944447
821,81.22944447
822,81.37000003
823,81.83833336
824,82.02222225
825,82.04722225
826,82.13388892
827,82.18416669
828,82.22722225
829,82.27472225
830,82.33888892
831,82.36861114
832,82.38861114
833,82.40194447
834,82.41500003
835,82.42833336
836,82.4427778
837,82.4477778
838,82.45972225
839,82.48611114
840,82.50611114
841,82.56638891
842,82.62750003
843,82.64972225
844,82.67722225
845,82.71333336
846,82.74277781
847,82.90472225
848,83.00194447
849,83.05083336
850,83.09555558
851,83.15833336
852,83.31888891
853,83.33194447
854,83.34222225
855,83.3527778
856,83.36194447
857,83.37250003
858,83.37722225
859,83.44555558
860,83.4777778
861,83.52916669
862,83.57333336
863,83.69416669
864,83.7952778
865,83.82166669
